date,equity,ret
2026-06-12,119241.8,0.002074
2026-06-15,119672.84,0.003615
2026-06-16,120091.04,0.003495
2026-06-17,121345.64,0.010447
2026-06-18,122224.5,0.007243
2026-06-22,122381.14,0.001282
2026-06-23,122993.04,0.005
2026-06-24,124911.66,0.015599
2026-06-25,124656.81,-0.00204
2026-06-26,125584.56,0.007442
2026-06-29,125781.09,0.001565
2026-06-30,127526.41,0.013876
2026-07-01,128298.73,0.006056
2026-07-02,130243.55,0.015158
2026-07-03,131351.81,0.008509
2026-07-06,132162.35,0.006171
2026-07-07,133539.73,0.010422
2026-07-08,134132.99,0.004443
2026-07-09,135613.06,0.011034
2026-07-10,136366.21,0.005554
2026-07-13,138104.1,0.012744
2026-07-14,138589.2,0.003513
2026-07-15,139081.54,0.003553
2026-07-16,139723.57,0.004616
2026-07-17,141673.14,0.013953
2026-07-20,142162.7,0.003456
2026-07-21,142510.72,0.002448
2026-07-22,144081.23,0.01102
2026-07-23,144979.39,0.006234
2026-07-24,146666.22,0.011635
2026-07-27,146839.01,0.001178
2026-07-28,147358.43,0.003537
2026-07-29,148115.36,0.005137
2026-07-30,149516.9,0.009462
2026-07-31,149740.01,0.001492
2026-08-03,150089.6,0.002335
2026-08-04,151116.09,0.006839
2026-08-05,151289.68,0.001149
2026-08-06,151644.31,0.002344
2026-08-07,152065.69,0.002779
2026-08-10,152605.73,0.003551
2026-08-11,153348.37,0.004866
2026-08-12,154121.38,0.005041
2026-08-13,154483.03,0.002347
2026-08-14,155159.3,0.004378
2026-08-17,154845.84,-0.00202
2026-08-18,155959.46,0.007192
2026-08-19,156940.55,0.006291
2026-08-20,157647.46,0.004504
2026-08-21,157678.05,0.000194
2026-08-24,158261.52,0.0037
2026-08-25,158624.39,0.002293
2026-08-26,158588.32,-0.000227
2026-08-27,158394.3,-0.001223
2026-08-28,158988.12,0.003749
2026-08-31,159196.79,0.001313
2026-09-01,159613.28,0.002616
2026-09-02,160313.39,0.004386
2026-09-03,160678.5,0.002277
2026-09-04,161191.9,0.003195
