day,symbol,side,entry_time,exit_time,entry_price,exit_price,volume,pnl,pnl_pct,reason
2025-12-23,301228.SZSE,sell,2025-12-22 09:35:00,2025-12-23 13:52:00,41.32,42.05,199,122.85,0.01767,模型转空
2025-12-23,002810.SZSE,sell,2025-12-22 10:33:00,2025-12-23 14:50:00,51.441,56.1738,172,791.88,0.092,尾盘平仓
2025-12-24,002769.SZSE,sell,2025-12-23 09:35:00,2025-12-24 09:35:00,63.8747,61.1753,152,-437.34,-0.04226,止损
2025-12-24,002517.SZSE,sell,2025-12-23 11:08:00,2025-12-24 09:35:00,139.56,134.64,63,-338.06,-0.03525,止损
2025-12-24,000695.SZSE,sell,2025-12-23 13:21:00,2025-12-24 09:35:00,39.2412,38.1647,241,-284.26,-0.02743,止损
2025-12-24,603698.SSE,sell,2025-12-23 14:14:00,2025-12-24 14:50:00,41.5836,45.6006,219,856.19,0.0966,尾盘平仓
2025-12-25,002405.SZSE,sell,2025-12-24 09:35:00,2025-12-25 09:35:00,36.316,35.4606,271,-256.82,-0.02355,止损
2025-12-25,600960.SSE,sell,2025-12-24 09:35:00,2025-12-25 09:35:00,23.8681,23.2916,404,-257.65,-0.02416,止损
2025-12-25,301638.SZSE,sell,2025-12-24 09:35:00,2025-12-25 11:28:00,19.82,19.9,498,14.83,0.00404,模型转空
2025-12-25,301018.SZSE,sell,2025-12-24 09:36:00,2025-12-25 13:55:00,67.16,68.39,141,149.68,0.01831,模型转空
2025-12-26,300324.SZSE,sell,2025-12-25 09:35:00,2025-12-26 09:35:00,153.4747,150.3474,62,-221.5,-0.02038,止损
2025-12-26,603331.SSE,sell,2025-12-25 09:35:00,2025-12-26 09:35:00,20.412,19.768,455,-317.52,-0.03155,止损
2025-12-26,600376.SSE,sell,2025-12-25 13:55:00,2025-12-26 10:48:00,58.8626,58.1326,162,-142.84,-0.0124,模型转空
2025-12-26,300970.SZSE,sell,2025-12-25 09:35:00,2025-12-26 13:41:00,36.98,40.12,257,782.71,0.08491,模型转空
2025-12-26,603698.SSE,sell,2025-12-25 13:01:00,2025-12-26 14:27:00,50.0206,53.0106,146,415.59,0.05978,模型转空
2025-12-29,301228.SZSE,sell,2025-12-26 14:08:00,2025-12-29 09:35:00,41.09,40.08,199,-223.57,-0.02458,止损
2025-12-29,002251.SZSE,sell,2025-12-26 09:35:00,2025-12-29 09:36:00,32.5523,31.8689,303,-231.94,-0.021,止损
2025-12-29,002383.SZSE,sell,2025-12-26 10:57:00,2025-12-29 09:36:00,56.956,55.6456,165,-241.48,-0.02301,止损
2025-12-29,600576.SSE,sell,2025-12-26 14:42:00,2025-12-29 09:36:00,20.449,19.987,483,-248.28,-0.02259,止损
2025-12-29,300818.SZSE,sell,2025-12-26 09:35:00,2025-12-29 14:20:00,74.2727,77.5697,106,329.48,0.04439,模型转空
2025-12-30,000426.SZSE,sell,2025-12-29 14:24:00,2025-12-30 09:35:00,986.5333,919.673,7,-525.57,-0.06777,止损
2025-12-30,600246.SSE,sell,2025-12-29 09:35:00,2025-12-30 09:48:00,136.7424,133.5823,66,-235.22,-0.02311,止损
2025-12-30,600817.SSE,sell,2025-12-29 09:36:00,2025-12-30 10:30:00,58.2838,58.4639,165,5.13,0.00309,模型转空
2025-12-30,605001.SSE,sell,2025-12-29 09:36:00,2025-12-30 11:13:00,10.912,10.873,906,-60.35,-0.00357,模型转空
2025-12-30,603179.SSE,sell,2025-12-29 09:36:00,2025-12-30 14:37:00,166.3189,181.0118,57,824.63,0.08834,模型转空
2025-12-31,300606.SZSE,sell,2025-12-30 11:13:00,2025-12-31 09:45:00,37.39,36.64,259,-219.21,-0.02006,止损
2025-12-31,300229.SZSE,sell,2025-12-30 09:35:00,2025-12-31 10:29:00,101.5015,101.9095,94,14.02,0.00402,模型转空
2025-12-31,000426.SZSE,sell,2025-12-30 14:37:00,2025-12-31 11:00:00,968.0798,948.2892,7,-170.37,-0.02044,止损
2025-12-31,603177.SSE,sell,2025-12-30 10:30:00,2025-12-31 13:41:00,11.54,11.4,782,-133.12,-0.01213,模型转空
2025-12-31,603337.SSE,sell,2025-12-30 09:48:00,2025-12-31 14:11:00,96.0894,99.7591,85,290.16,0.03819,模型转空
2026-01-05,603331.SSE,sell,2025-12-31 14:11:00,2026-01-05 09:38:00,21.644,21.0,455,-318.37,-0.02975,止损
2026-01-05,002659.SZSE,sell,2025-12-31 13:46:00,2026-01-05 09:47:00,11.923,11.683,831,-224.5,-0.02013,止损
2026-01-05,603312.SSE,sell,2025-12-31 11:00:00,2026-01-05 10:42:00,48.78,49.29,186,71.27,0.01046,模型转空
2026-01-05,000878.SZSE,sell,2025-12-31 09:45:00,2026-01-05 13:09:00,65.8966,66.87,149,120.36,0.01477,模型转空
2026-01-05,000768.SZSE,sell,2025-12-31 10:30:00,2026-01-05 13:31:00,227.7301,231.7628,32,111.47,0.01771,模型转空
2026-01-06,001206.SZSE,sell,2026-01-05 13:11:00,2026-01-06 10:35:00,66.5076,65.1356,125,-195.05,-0.02063,止损
2026-01-06,300536.SZSE,sell,2026-01-05 09:47:00,2026-01-06 13:24:00,25.135,24.9775,374,-83.3,-0.00627,模型转空
2026-01-06,000570.SZSE,sell,2026-01-05 10:42:00,2026-01-06 13:48:00,28.3675,28.5837,335,47.94,0.00762,模型转空
2026-01-06,301515.SZSE,sell,2026-01-05 09:38:00,2026-01-06 14:01:00,22.398,22.568,389,42.93,0.00759,模型转空
2026-01-06,000426.SZSE,sell,2026-01-05 13:31:00,2026-01-06 14:09:00,1014.3472,1059.2773,7,317.21,0.04429,模型转空
2026-01-07,000695.SZSE,sell,2026-01-06 13:48:00,2026-01-07 10:09:00,40.9637,40.0102,241,-255.2,-0.02328,止损
2026-01-07,000066.SZSE,sell,2026-01-06 14:01:00,2026-01-07 10:10:00,157.5727,155.8601,57,-121.32,-0.01087,模型转空
