date,equity,cash,hold_value,n_holding,ret
2026-01-26,62656.84,29009.79,33647.05,4,-0.002176
2026-01-27,64662.09,27770.16,36891.93,4,0.032004
2026-01-28,64247.8,23349.04,40898.77,5,-0.006407
2026-01-29,63369.49,21859.77,41509.72,5,-0.013671
2026-01-30,64455.65,19629.24,44826.41,5,0.01714
2026-02-02,64427.16,29197.43,35229.73,4,-0.000442
2026-02-03,66746.86,37923.92,28822.94,3,0.036005
2026-02-04,65516.8,24235.61,41281.19,5,-0.018429
2026-02-05,65162.81,30050.36,35112.45,4,-0.005403
2026-02-06,65131.47,20722.22,44409.24,5,-0.000481
2026-02-09,65126.18,23031.68,42094.5,5,-8.1e-05
2026-02-10,65214.54,24534.41,40680.13,5,0.001357
2026-02-11,65754.53,34148.9,31605.64,4,0.00828
2026-02-12,65685.31,30814.23,34871.08,4,-0.001053
2026-02-13,65497.18,18312.04,47185.14,5,-0.002864
2026-02-24,65794.4,19310.38,46484.02,5,0.004538
2026-02-25,66022.27,23468.18,42554.09,5,0.003463
2026-02-26,65404.59,23920.95,41483.63,5,-0.009356
2026-02-27,65482.95,22534.82,42948.13,5,0.001198
2026-03-02,67422.09,47811.51,19610.58,2,0.029613
2026-03-03,66326.69,33789.95,32536.74,4,-0.016247
2026-03-04,65294.2,24500.53,40793.66,5,-0.015567
2026-03-05,65193.66,24818.05,40375.61,5,-0.00154
2026-03-06,66106.23,32377.4,33728.84,4,0.013998
2026-03-09,65810.9,17360.58,48450.32,5,-0.004468
2026-03-10,66951.41,20706.04,46245.37,5,0.01733
2026-03-11,68030.71,40159.26,27871.45,3,0.016121
2026-03-12,67207.03,44532.39,22674.64,3,-0.012108
2026-03-13,66407.71,25347.14,41060.57,5,-0.011893
2026-03-16,65234.21,33238.08,31996.13,4,-0.017671
2026-03-17,64747.34,18336.96,46410.38,5,-0.007463
2026-03-18,63928.89,18161.85,45767.05,5,-0.012641
2026-03-19,63456.58,37680.17,25776.4,3,-0.007388
2026-03-20,62623.56,17860.26,44763.3,5,-0.013127
2026-03-23,60263.79,13692.6,46571.19,5,-0.037682
2026-03-24,62084.66,62084.66,0.0,0,0.030215
2026-03-25,61813.07,19456.83,42356.25,5,-0.004375
2026-03-26,60108.35,13151.0,46957.35,5,-0.027579
2026-03-27,59083.94,59083.94,0.0,0,-0.017043
2026-03-30,59083.94,59083.94,0.0,0,0.0
2026-03-31,59083.94,59083.94,0.0,0,0.0
2026-04-01,59083.94,59083.94,0.0,0,0.0
2026-04-02,59083.94,59083.94,0.0,0,0.0
2026-04-03,59083.94,59083.94,0.0,0,0.0
2026-04-07,59083.94,59083.94,0.0,0,0.0
2026-04-08,59083.94,59083.94,0.0,0,0.0
2026-04-09,59083.94,59083.94,0.0,0,0.0
2026-04-10,59083.94,59083.94,0.0,0,0.0
2026-04-13,59083.94,59083.94,0.0,0,0.0
2026-04-14,59083.94,59083.94,0.0,0,0.0
2026-04-15,59083.94,59083.94,0.0,0,0.0
2026-04-16,59083.94,59083.94,0.0,0,0.0
2026-04-17,59083.94,59083.94,0.0,0,0.0
2026-04-20,59083.94,59083.94,0.0,0,0.0
2026-04-21,59083.94,59083.94,0.0,0,0.0
2026-04-22,59083.94,59083.94,0.0,0,0.0
2026-04-23,59083.94,59083.94,0.0,0,0.0
2026-04-24,59083.94,59083.94,0.0,0,0.0
2026-04-27,59083.94,59083.94,0.0,0,0.0
2026-04-28,59083.94,59083.94,0.0,0,0.0
2026-04-29,59083.94,59083.94,0.0,0,0.0
2026-04-30,59083.94,59083.94,0.0,0,0.0
2026-05-06,59083.94,59083.94,0.0,0,0.0
2026-05-07,59083.94,59083.94,0.0,0,0.0
2026-05-08,59083.94,59083.94,0.0,0,0.0
2026-05-11,59083.94,59083.94,0.0,0,0.0
2026-05-12,59083.94,59083.94,0.0,0,0.0
2026-05-13,59083.94,59083.94,0.0,0,0.0
2026-05-14,59083.94,59083.94,0.0,0,0.0
2026-05-15,59083.94,59083.94,0.0,0,0.0
2026-05-18,59083.94,59083.94,0.0,0,0.0
2026-05-19,59083.94,59083.94,0.0,0,0.0
2026-05-20,59083.94,59083.94,0.0,0,0.0
2026-05-21,59083.94,59083.94,0.0,0,0.0
2026-05-22,59083.94,59083.94,0.0,0,0.0
2026-05-25,59083.94,59083.94,0.0,0,0.0
2026-05-26,59083.94,59083.94,0.0,0,0.0
2026-05-27,59083.94,59083.94,0.0,0,0.0
2026-05-28,59083.94,59083.94,0.0,0,0.0
2026-05-29,59083.94,59083.94,0.0,0,0.0
2026-06-01,59083.94,59083.94,0.0,0,0.0
2026-06-02,59083.94,59083.94,0.0,0,0.0
2026-06-03,59083.94,59083.94,0.0,0,0.0
2026-06-04,59083.94,59083.94,0.0,0,0.0
2026-06-05,59083.94,59083.94,0.0,0,0.0
2026-06-08,59083.94,59083.94,0.0,0,0.0
2026-06-09,59083.94,59083.94,0.0,0,0.0
2026-06-10,59083.94,59083.94,0.0,0,0.0
2026-06-11,59083.94,59083.94,0.0,0,0.0
2026-06-12,59083.94,59083.94,0.0,0,0.0
2026-06-15,59083.94,59083.94,0.0,0,0.0
2026-06-16,59083.94,59083.94,0.0,0,0.0
2026-06-17,59083.94,59083.94,0.0,0,0.0
2026-06-18,59083.94,59083.94,0.0,0,0.0
2026-06-22,59083.94,59083.94,0.0,0,0.0
2026-06-23,59083.94,59083.94,0.0,0,0.0
2026-06-24,59083.94,59083.94,0.0,0,0.0
2026-06-25,59083.94,59083.94,0.0,0,0.0
2026-06-26,59083.94,59083.94,0.0,0,0.0
2026-06-29,59083.94,59083.94,0.0,0,0.0
2026-06-30,59083.94,59083.94,0.0,0,0.0
2026-07-01,59083.94,59083.94,0.0,0,0.0
2026-07-02,59083.94,59083.94,0.0,0,0.0
2026-07-03,59083.94,59083.94,0.0,0,0.0
2026-07-06,59083.94,59083.94,0.0,0,0.0
2026-07-07,59083.94,59083.94,0.0,0,0.0
2026-07-08,59083.94,59083.94,0.0,0,0.0
2026-07-09,59083.94,59083.94,0.0,0,0.0
2026-07-10,59083.94,59083.94,0.0,0,0.0
2026-07-13,59083.94,59083.94,0.0,0,0.0
2026-07-14,59083.94,59083.94,0.0,0,0.0
2026-07-15,59083.94,59083.94,0.0,0,0.0
2026-07-16,59083.94,59083.94,0.0,0,0.0
2026-07-17,59083.94,59083.94,0.0,0,0.0
2026-07-20,59083.94,59083.94,0.0,0,0.0
2026-07-21,59083.94,59083.94,0.0,0,0.0
2026-07-22,59083.94,59083.94,0.0,0,0.0
2026-07-23,59083.94,59083.94,0.0,0,0.0
2026-07-24,59083.94,59083.94,0.0,0,0.0
2026-07-27,59083.94,59083.94,0.0,0,0.0
2026-07-28,59083.94,59083.94,0.0,0,0.0
2026-07-29,59083.94,59083.94,0.0,0,0.0
2026-07-30,59083.94,59083.94,0.0,0,0.0
2026-07-31,59083.94,59083.94,0.0,0,0.0
2026-08-03,59083.94,59083.94,0.0,0,0.0
2026-08-04,59083.94,59083.94,0.0,0,0.0
2026-08-05,59083.94,59083.94,0.0,0,0.0
2026-08-06,59083.94,59083.94,0.0,0,0.0
2026-08-07,59083.94,59083.94,0.0,0,0.0
2026-08-10,59083.94,59083.94,0.0,0,0.0
2026-08-11,59083.94,59083.94,0.0,0,0.0
2026-08-12,59083.94,59083.94,0.0,0,0.0
2026-08-13,59083.94,59083.94,0.0,0,0.0
2026-08-14,59083.94,59083.94,0.0,0,0.0
2026-08-17,59083.94,59083.94,0.0,0,0.0
2026-08-18,59083.94,59083.94,0.0,0,0.0
2026-08-19,59083.94,59083.94,0.0,0,0.0
2026-08-20,59083.94,59083.94,0.0,0,0.0
2026-08-21,59083.94,59083.94,0.0,0,0.0
2026-08-24,59083.94,59083.94,0.0,0,0.0
2026-08-25,59083.94,59083.94,0.0,0,0.0
2026-08-26,59083.94,59083.94,0.0,0,0.0
2026-08-27,59083.94,59083.94,0.0,0,0.0
2026-08-28,59083.94,59083.94,0.0,0,0.0
2026-08-31,59083.94,59083.94,0.0,0,0.0
2026-09-01,59083.94,59083.94,0.0,0,0.0
2026-09-02,59083.94,59083.94,0.0,0,0.0
2026-09-03,59083.94,59083.94,0.0,0,0.0
2026-09-04,59083.94,59083.94,0.0,0,0.0
