name,expr,ic_mean,ic_std,icir,t,ic_pos,t_h1,t_h2,n,abs_t,both_sig,same_sign,stable
QTLD10,"Quantile($close, 10, 0.2)/$close",0.047558294441145205,0.15716923523622028,0.30259289847447957,15.334027616645779,0.6433021806853583,13.391038792158518,8.720344475985227,2568,15.334027616645779,True,True,True
MIN20,"Min($low, 20)/$close",0.05016537125158612,0.16956898114131166,0.295840494611337,14.994765283560827,0.6372129233164655,11.05943539230126,10.211086841805852,2569,14.994765283560827,True,True,True
QTLD20,"Quantile($close, 20, 0.2)/$close",0.04663879183569788,0.16670048694166817,0.2797759784110152,14.17777020233151,0.6339563862928349,12.105792503177627,8.291871436624577,2568,14.17777020233151,True,True,True
MIN30,"Min($low, 30)/$close",0.048262702765208276,0.17642163583552314,0.27356453496556005,13.865701506158334,0.6282600233553912,10.406115615583952,9.315132248943957,2569,13.865701506158334,True,True,True
QTLD30,"Quantile($close, 30, 0.2)/$close",0.04624519368998376,0.1723794080303035,0.2682756265287445,13.594984835414659,0.6218847352024922,11.838036051738777,7.779298574352692,2568,13.594984835414659,True,True,True
RANK5,"Rank($close, 5)",-0.03814933351799293,0.14337164946872263,-0.2660870099448457,-13.484075731767655,0.37305295950155765,-12.61691109031339,-6.77751996792016,2568,13.484075731767655,True,True,True
RANK10,"Rank($close, 10)",-0.03982306919903793,0.15290578306251226,-0.2604418773536977,-13.198006166061734,0.3781152647975078,-12.34486502185514,-6.642204656935527,2568,13.198006166061734,True,True,True
KSFT,(2*$close-$high-$low)/$open,-0.04050518558487899,0.15817738623532474,-0.2560744398988762,-12.979210727887308,0.3682366679641884,-13.125990516512367,-5.992188530965918,2569,12.979210727887308,True,True,True
SUMP5,"Sum(Greater($close-Ref($close, 1), 0), 5)/(Sum(Abs($close-Re",-0.03575704593495321,0.13988546866267765,-0.2556165860313797,-12.953482415610843,0.37850467289719625,-12.657400046973358,-6.485661896220914,2568,12.953482415610843,True,True,True
KSFT2,(2*$close-$high-$low)/($high-$low+1e-12),-0.034586407878631056,0.13580104341432137,-0.2546844045454781,-12.908756363999636,0.376800311405216,-12.056791555227957,-6.595941730090012,2569,12.908756363999636,True,True,True
CNTD5,"Mean($close>Ref($close, 1), 5)-Mean($close<Ref($close, 1), 5",-0.03150788543725461,0.1238100473358094,-0.25448569090516476,-12.896173809941855,0.38006230529595014,-13.259197295505754,-5.801139907109873,2568,12.896173809941855,True,True,True
CORD60,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 6",-0.02522124527486462,0.10011508728778197,-0.25192252195082104,-12.763798211683735,0.3872224386443319,-11.101178193267005,-7.510450348501513,2567,12.763798211683735,True,True,True
SUMD5,"(Sum(Greater($close-Ref($close, 1), 0), 5)-Sum(Greater(Ref($",-0.03794162661826745,0.15124699384807097,-0.25085871562102036,-12.712375249392846,0.3839563862928349,-12.399103063273467,-6.090580664279936,2568,12.712375249392846,True,True,True
CNTP5,"Mean($close>Ref($close, 1), 5)",-0.030208949719956035,0.12044526053694439,-0.25081061376167635,-12.7099376666098,0.3866822429906542,-11.170014567026321,-7.039607599121217,2568,12.7099376666098,True,True,True
QTLD60,"Quantile($close, 60, 0.2)/$close",0.04426284842123386,0.1773288394242887,0.24960885417699963,12.64903797348116,0.6031931464174455,10.459042156083571,7.744953495477791,2568,12.64903797348116,True,True,True
ROC5,"Ref($close, 5)/$close",0.04255767562050065,0.1721409426397235,0.24722576144810757,12.518512681021722,0.6224648985959438,12.551965356455991,5.642526515506811,2564,12.518512681021722,True,True,True
MIN60,"Min($low, 60)/$close",0.044896050511802135,0.18323980806421297,0.24501253841124496,12.418534892705189,0.615025301673803,9.175961498675708,8.514697835802425,2569,12.418534892705189,True,True,True
KMID,($close-$open)/$open,-0.03749913963479244,0.15394266219575242,-0.24359160157376514,-12.346514277715457,0.37018295056442196,-11.848950830634182,-6.193265151388236,2569,12.346514277715457,True,True,True
OPEN0,$open/$close,0.03749777565171935,0.15394446252309055,0.24357989262585497,12.345920806135911,0.629817049435578,11.847904567723885,6.193260033401548,2569,12.345920806135911,True,True,True
CORR20,"Corr($close, Log($volume+1), 20)",-0.02649449456426955,0.10877698109779728,-0.2435671067249913,-12.342869776048369,0.39057632398753894,-9.292610585491044,-8.260784848872776,2568,12.342869776048369,True,True,True
VSTD30,"Std($volume, 30)/($volume+1e-12)",0.023718649879411028,0.09757002631363919,0.24309360953913597,12.318875098840431,0.6113707165109035,12.40766516540119,5.559512919939376,2568,12.318875098840431,True,True,True
RANK20,"Rank($close, 20)",-0.03773185868298595,0.15883654149735138,-0.23755149997152977,-12.03802626995981,0.39213395638629284,-10.500962264798003,-6.731388380979064,2568,12.03802626995981,True,True,True
MA10,"Mean($close, 10)/$close",0.04218480830593607,0.17836700743362224,0.2365056683570519,11.985028294992073,0.6055295950155763,11.42107571555658,5.791543806866158,2568,11.985028294992073,True,True,True
RANK30,"Rank($close, 30)",-0.03811958676158652,0.16243883581868176,-0.2346704011357022,-11.89202532500177,0.39914330218068533,-10.288708712818792,-6.730624473608211,2568,11.89202532500177,True,True,True
MA5,"Mean($close, 5)/$close",0.03903311936837486,0.16931961059067233,0.2305292294980341,11.682169639103615,0.6140965732087228,10.999185196811734,5.783947189528306,2568,11.682169639103615,True,True,True
KMID2,($close-$open)/($high-$low+1e-12),-0.031563120828274255,0.140827676559448,-0.2241258366209743,-11.35988607147368,0.3923705722070845,-10.743325397126096,-5.819348273749739,2569,11.35988607147368,True,True,True
MA20,"Mean($close, 20)/$close",0.04118674791450318,0.18464436044745478,0.22305987474891717,11.30365681683015,0.5996884735202492,10.066244875585497,6.092400657659709,2568,11.30365681683015,True,True,True
MA30,"Mean($close, 30)/$close",0.04181392669545119,0.18779608510772883,0.22265600835855934,11.283190710671006,0.5965732087227414,9.895418514339193,6.256019717879133,2568,11.283190710671006,True,True,True
RANK60,"Rank($close, 60)",-0.03658924911438993,0.16564469648864658,-0.22088995234989484,-11.193695049186772,0.41238317757009346,-9.365283674560086,-6.662819765047075,2568,11.193695049186772,True,True,True
KUP,"($high-Greater($open, $close))/$open",-0.031281947106748295,0.14295498339369192,-0.2188237609079996,-11.091148754304939,0.38808875048657065,-6.465426783728404,-9.206746939232751,2569,11.091148754304939,True,True,True
IMAX5,"IdxMax($high, 5)/5",-0.02567302234838307,0.1177414367741263,-0.21804577090080762,-11.049564908965609,0.38901869158878505,-10.631657348321957,-5.4617334368874175,2568,11.049564908965609,True,True,True
IMXD5,"(IdxMax($high, 5)-IdxMin($low, 5))/5",-0.029632256286546147,0.13695152678055952,-0.21637039749127127,-10.964664627896418,0.39330218068535827,-10.766258638937247,-5.127799935116535,2568,10.964664627896418,True,True,True
SUMP30,"Sum(Greater($close-Ref($close, 1), 0), 30)/(Sum(Abs($close-R",-0.03333501290559086,0.15441893927649028,-0.21587386276435844,-10.939502513208696,0.4084890965732087,-8.575603107522603,-7.144377674605339,2568,10.939502513208696,True,True,True
