规则,级别,标的,数量,说明,样例
涨跌幅异常,可疑,600183.SSE,6,6 根 K 线涨跌幅超过 15%（最大 30.6%），可能是复权跳变、停牌复牌或数据错误,2021-07-30 00:00:00; 2025-12-26 00:00:00; 2026-05-22 00:00:00; 2026-05-29 00:00:00; 2026-06-19 00:00:00
涨跌幅异常,可疑,600188.SSE,5,5 根 K 线涨跌幅超过 15%（最大 22.9%），可能是复权跳变、停牌复牌或数据错误,2021-07-16 00:00:00; 2021-08-27 00:00:00; 2021-09-03 00:00:00; 2021-10-29 00:00:00; 2022-02-11 00:00:00
涨跌幅异常,可疑,600196.SSE,10,10 根 K 线涨跌幅超过 15%（最大 28.8%），可能是复权跳变、停牌复牌或数据错误,2020-07-24 00:00:00; 2020-07-31 00:00:00; 2020-08-14 00:00:00; 2020-11-13 00:00:00; 2021-04-30 00:00:00
涨跌幅异常,可疑,600219.SSE,4,4 根 K 线涨跌幅超过 15%（最大 24.2%），可能是复权跳变、停牌复牌或数据错误,2021-01-08 00:00:00; 2021-07-16 00:00:00; 2021-08-13 00:00:00; 2026-03-20 00:00:00
涨跌幅异常,可疑,600221.SSE,6,6 根 K 线涨跌幅超过 15%（最大 37.9%），可能是复权跳变、停牌复牌或数据错误,2020-02-21 00:00:00; 2021-03-26 00:00:00; 2021-05-28 00:00:00; 2024-11-01 00:00:00; 2024-11-08 00:00:00
涨跌幅异常,可疑,600233.SSE,3,3 根 K 线涨跌幅超过 15%（最大 17.0%），可能是复权跳变、停牌复牌或数据错误,2021-09-03 00:00:00; 2021-11-19 00:00:00; 2024-03-15 00:00:00
涨跌幅异常,可疑,600276.SSE,4,4 根 K 线涨跌幅超过 15%（最大 17.9%），可能是复权跳变、停牌复牌或数据错误,2020-12-18 00:00:00; 2022-07-01 00:00:00; 2023-08-04 00:00:00; 2024-02-09 00:00:00
涨跌幅异常,可疑,600309.SSE,3,3 根 K 线涨跌幅超过 15%（最大 18.2%），可能是复权跳变、停牌复牌或数据错误,2021-01-08 00:00:00; 2021-03-05 00:00:00; 2021-07-09 00:00:00
涨跌幅异常,可疑,600346.SSE,6,6 根 K 线涨跌幅超过 15%（最大 21.2%），可能是复权跳变、停牌复牌或数据错误,2020-08-07 00:00:00; 2021-01-08 00:00:00; 2021-01-22 00:00:00; 2021-02-12 00:00:00; 2021-02-26 00:00:00
涨跌幅异常,可疑,600362.SSE,5,5 根 K 线涨跌幅超过 15%（最大 20.5%），可能是复权跳变、停牌复牌或数据错误,2021-01-08 00:00:00; 2021-02-12 00:00:00; 2025-10-10 00:00:00; 2026-06-19 00:00:00; 2026-06-26 00:00:00
涨跌幅异常,可疑,600372.SSE,2,2 根 K 线涨跌幅超过 15%（最大 27.4%），可能是复权跳变、停牌复牌或数据错误,2020-07-10 00:00:00; 2020-08-07 00:00:00
涨跌幅异常,可疑,600406.SSE,1,1 根 K 线涨跌幅超过 15%（最大 18.0%），可能是复权跳变、停牌复牌或数据错误,2022-04-29 00:00:00
涨跌幅异常,可疑,600415.SSE,8,8 根 K 线涨跌幅超过 15%（最大 53.1%），可能是复权跳变、停牌复牌或数据错误,2020-06-05 00:00:00; 2020-07-10 00:00:00; 2021-01-01 00:00:00; 2022-12-09 00:00:00; 2023-04-14 00:00:00
涨跌幅异常,可疑,600426.SSE,3,3 根 K 线涨跌幅超过 15%（最大 21.3%），可能是复权跳变、停牌复牌或数据错误,2020-11-06 00:00:00; 2021-07-09 00:00:00; 2024-09-27 00:00:00
涨跌幅异常,可疑,600436.SSE,5,5 根 K 线涨跌幅超过 15%（最大 22.8%），可能是复权跳变、停牌复牌或数据错误,2021-02-05 00:00:00; 2021-02-26 00:00:00; 2024-02-02 00:00:00; 2024-09-27 00:00:00; 2026-07-17 00:00:00
涨跌幅异常,可疑,600438.SSE,12,12 根 K 线涨跌幅超过 15%（最大 27.4%），可能是复权跳变、停牌复牌或数据错误,2020-02-14 00:00:00; 2020-05-01 00:00:00; 2020-07-24 00:00:00; 2020-12-25 00:00:00; 2021-01-22 00:00:00
涨跌幅异常,可疑,600460.SSE,15,15 根 K 线涨跌幅超过 15%（最大 29.6%），可能是复权跳变、停牌复牌或数据错误,2020-02-14 00:00:00; 2020-02-21 00:00:00; 2020-02-28 00:00:00; 2020-07-31 00:00:00; 2020-12-04 00:00:00
涨跌幅异常,可疑,600482.SSE,6,6 根 K 线涨跌幅超过 15%（最大 22.3%），可能是复权跳变、停牌复牌或数据错误,2020-07-24 00:00:00; 2026-02-13 00:00:00; 2026-03-06 00:00:00; 2026-03-13 00:00:00; 2026-04-10 00:00:00
涨跌幅异常,可疑,600489.SSE,4,4 根 K 线涨跌幅超过 15%（最大 22.2%），可能是复权跳变、停牌复牌或数据错误,2026-01-23 00:00:00; 2026-01-30 00:00:00; 2026-02-06 00:00:00; 2026-06-26 00:00:00
涨跌幅异常,可疑,600515.SSE,14,14 根 K 线涨跌幅超过 15%（最大 38.7%），可能是复权跳变、停牌复牌或数据错误,2020-03-13 00:00:00; 2020-06-05 00:00:00; 2020-07-03 00:00:00; 2020-07-10 00:00:00; 2020-09-11 00:00:00
涨跌幅异常,可疑,600519.SSE,2,2 根 K 线涨跌幅超过 15%（最大 24.7%），可能是复权跳变、停牌复牌或数据错误,2022-10-28 00:00:00; 2024-09-27 00:00:00
涨跌幅异常,可疑,600522.SSE,15,15 根 K 线涨跌幅超过 15%（最大 46.7%），可能是复权跳变、停牌复牌或数据错误,2020-03-13 00:00:00; 2020-07-10 00:00:00; 2021-07-23 00:00:00; 2021-08-13 00:00:00; 2021-11-05 00:00:00
涨跌幅异常,可疑,600547.SSE,3,3 根 K 线涨跌幅超过 15%（最大 25.2%），可能是复权跳变、停牌复牌或数据错误,2020-03-27 00:00:00; 2026-02-06 00:00:00; 2026-08-21 00:00:00
涨跌幅异常,可疑,600549.SSE,9,9 根 K 线涨跌幅超过 15%（最大 30.7%），可能是复权跳变、停牌复牌或数据错误,2020-07-10 00:00:00; 2021-02-12 00:00:00; 2021-07-09 00:00:00; 2022-11-04 00:00:00; 2026-01-09 00:00:00
涨跌幅异常,可疑,600570.SSE,7,7 根 K 线涨跌幅超过 15%（最大 23.4%），可能是复权跳变、停牌复牌或数据错误,2024-02-02 00:00:00; 2024-09-27 00:00:00; 2024-10-18 00:00:00; 2024-11-08 00:00:00; 2025-02-07 00:00:00
涨跌幅异常,可疑,600584.SSE,12,12 根 K 线涨跌幅超过 15%（最大 40.3%），可能是复权跳变、停牌复牌或数据错误,2020-05-01 00:00:00; 2020-05-15 00:00:00; 2020-07-10 00:00:00; 2020-07-17 00:00:00; 2023-04-07 00:00:00
涨跌幅异常,可疑,600588.SSE,7,7 根 K 线涨跌幅超过 15%（最大 29.8%），可能是复权跳变、停牌复牌或数据错误,2020-02-07 00:00:00; 2022-10-28 00:00:00; 2024-09-27 00:00:00; 2025-02-07 00:00:00; 2025-02-14 00:00:00
涨跌幅异常,可疑,600600.SSE,4,4 根 K 线涨跌幅超过 15%（最大 27.9%），可能是复权跳变、停牌复牌或数据错误,2021-07-30 00:00:00; 2021-10-29 00:00:00; 2022-11-04 00:00:00; 2024-09-27 00:00:00
涨跌幅异常,可疑,600660.SSE,2,2 根 K 线涨跌幅超过 15%（最大 16.4%），可能是复权跳变、停牌复牌或数据错误,2020-10-30 00:00:00; 2021-01-22 00:00:00
涨跌幅异常,可疑,600690.SSE,1,1 根 K 线涨跌幅超过 15%（最大 22.5%），可能是复权跳变、停牌复牌或数据错误,2020-08-07 00:00:00
涨跌幅异常,可疑,600760.SSE,7,7 根 K 线涨跌幅超过 15%（最大 61.6%），可能是复权跳变、停牌复牌或数据错误,2020-07-10 00:00:00; 2020-12-25 00:00:00; 2021-01-08 00:00:00; 2021-03-12 00:00:00; 2021-07-09 00:00:00
涨跌幅异常,可疑,600803.SSE,1,1 根 K 线涨跌幅超过 15%（最大 16.1%），可能是复权跳变、停牌复牌或数据错误,2022-08-26 00:00:00
涨跌幅异常,可疑,600809.SSE,5,5 根 K 线涨跌幅超过 15%（最大 26.7%），可能是复权跳变、停牌复牌或数据错误,2021-02-26 00:00:00; 2021-07-16 00:00:00; 2021-07-30 00:00:00; 2021-08-20 00:00:00; 2024-09-27 00:00:00
涨跌幅异常,可疑,600845.SSE,2,2 根 K 线涨跌幅超过 15%（最大 33.0%），可能是复权跳变、停牌复牌或数据错误,2020-02-07 00:00:00; 2020-07-10 00:00:00
涨跌幅异常,可疑,600875.SSE,4,4 根 K 线涨跌幅超过 15%（最大 23.0%），可能是复权跳变、停牌复牌或数据错误,2021-08-20 00:00:00; 2022-09-09 00:00:00; 2026-02-13 00:00:00; 2026-03-06 00:00:00
涨跌幅异常,可疑,600887.SSE,1,1 根 K 线涨跌幅超过 15%（最大 18.7%），可能是复权跳变、停牌复牌或数据错误,2024-09-27 00:00:00
涨跌幅异常,可疑,600893.SSE,12,12 根 K 线涨跌幅超过 15%（最大 38.1%），可能是复权跳变、停牌复牌或数据错误,2020-02-21 00:00:00; 2020-07-10 00:00:00; 2020-08-07 00:00:00; 2020-12-25 00:00:00; 2021-01-08 00:00:00
涨跌幅异常,可疑,600905.SSE,3,3 根 K 线涨跌幅超过 15%（最大 42.9%），可能是复权跳变、停牌复牌或数据错误,2021-06-18 00:00:00; 2021-07-09 00:00:00; 2021-09-03 00:00:00
涨跌幅异常,可疑,600918.SSE,6,6 根 K 线涨跌幅超过 15%（最大 61.1%），可能是复权跳变、停牌复牌或数据错误,2020-06-12 00:00:00; 2020-07-10 00:00:00; 2021-04-30 00:00:00; 2021-07-23 00:00:00; 2021-07-30 00:00:00
涨跌幅异常,可疑,600926.SSE,1,1 根 K 线涨跌幅超过 15%（最大 15.3%），可能是复权跳变、停牌复牌或数据错误,2021-02-05 00:00:00
涨跌幅异常,可疑,600938.SSE,2,2 根 K 线涨跌幅超过 15%（最大 19.5%），可能是复权跳变、停牌复牌或数据错误,2022-05-27 00:00:00; 2024-03-08 00:00:00
涨跌幅异常,可疑,600941.SSE,1,1 根 K 线涨跌幅超过 15%（最大 15.7%），可能是复权跳变、停牌复牌或数据错误,2022-02-11 00:00:00
涨跌幅异常,可疑,600958.SSE,4,4 根 K 线涨跌幅超过 15%（最大 18.1%），可能是复权跳变、停牌复牌或数据错误,2020-07-03 00:00:00; 2021-08-20 00:00:00; 2023-01-13 00:00:00; 2024-09-27 00:00:00
涨跌幅异常,可疑,600989.SSE,4,4 根 K 线涨跌幅超过 15%（最大 19.6%），可能是复权跳变、停牌复牌或数据错误,2020-03-13 00:00:00; 2021-01-08 00:00:00; 2026-03-06 00:00:00; 2026-03-13 00:00:00
涨跌幅异常,可疑,600999.SSE,1,1 根 K 线涨跌幅超过 15%（最大 27.6%），可能是复权跳变、停牌复牌或数据错误,2020-07-03 00:00:00
涨跌幅异常,可疑,601012.SSE,8,8 根 K 线涨跌幅超过 15%（最大 23.4%），可能是复权跳变、停牌复牌或数据错误,2020-04-17 00:00:00; 2020-08-28 00:00:00; 2020-12-25 00:00:00; 2021-01-08 00:00:00; 2021-01-22 00:00:00
涨跌幅异常,可疑,601018.SSE,1,1 根 K 线涨跌幅超过 15%（最大 17.8%），可能是复权跳变、停牌复牌或数据错误,2020-03-27 00:00:00
涨跌幅异常,可疑,601021.SSE,2,2 根 K 线涨跌幅超过 15%（最大 18.1%），可能是复权跳变、停牌复牌或数据错误,2021-01-29 00:00:00; 2024-09-27 00:00:00
涨跌幅异常,可疑,601058.SSE,5,5 根 K 线涨跌幅超过 15%（最大 22.3%），可能是复权跳变、停牌复牌或数据错误,2021-01-08 00:00:00; 2021-01-15 00:00:00; 2021-10-01 00:00:00; 2022-10-21 00:00:00; 2022-11-04 00:00:00
涨跌幅异常,可疑,601059.SSE,5,5 根 K 线涨跌幅超过 15%（最大 31.8%），可能是复权跳变、停牌复牌或数据错误,2023-02-10 00:00:00; 2023-08-04 00:00:00; 2024-02-02 00:00:00; 2024-09-27 00:00:00; 2025-02-21 00:00:00
涨跌幅异常,可疑,601066.SSE,4,4 根 K 线涨跌幅超过 15%（最大 26.1%），可能是复权跳变、停牌复牌或数据错误,2020-07-03 00:00:00; 2024-09-27 00:00:00; 2024-11-08 00:00:00; 2026-06-26 00:00:00
涨跌幅异常,可疑,601100.SSE,4,4 根 K 线涨跌幅超过 15%（最大 21.1%），可能是复权跳变、停牌复牌或数据错误,2021-02-26 00:00:00; 2025-01-17 00:00:00; 2025-02-21 00:00:00; 2025-03-07 00:00:00
涨跌幅异常,可疑,601111.SSE,1,1 根 K 线涨跌幅超过 15%（最大 15.1%），可能是复权跳变、停牌复牌或数据错误,2024-09-27 00:00:00
涨跌幅异常,可疑,601117.SSE,2,2 根 K 线涨跌幅超过 15%（最大 24.6%），可能是复权跳变、停牌复牌或数据错误,2021-08-27 00:00:00; 2024-09-27 00:00:00
涨跌幅异常,可疑,601127.SSE,26,26 根 K 线涨跌幅超过 15%（最大 47.0%），可能是复权跳变、停牌复牌或数据错误,2020-06-05 00:00:00; 2020-06-12 00:00:00; 2020-11-06 00:00:00; 2020-11-20 00:00:00; 2020-11-27 00:00:00
涨跌幅异常,可疑,601136.SSE,9,9 根 K 线涨跌幅超过 15%（最大 55.5%），可能是复权跳变、停牌复牌或数据错误,2022-12-30 00:00:00; 2023-07-28 00:00:00; 2023-08-04 00:00:00; 2023-08-18 00:00:00; 2023-10-20 00:00:00
涨跌幅异常,可疑,601138.SSE,10,10 根 K 线涨跌幅超过 15%（最大 27.7%），可能是复权跳变、停牌复牌或数据错误,2023-03-03 00:00:00; 2023-03-17 00:00:00; 2023-03-24 00:00:00; 2023-06-16 00:00:00; 2024-03-08 00:00:00
涨跌幅异常,可疑,601211.SSE,1,1 根 K 线涨跌幅超过 15%（最大 16.3%），可能是复权跳变、停牌复牌或数据错误,2024-10-11 00:00:00
涨跌幅异常,可疑,601225.SSE,2,2 根 K 线涨跌幅超过 15%（最大 18.5%），可能是复权跳变、停牌复牌或数据错误,2021-02-19 00:00:00; 2021-09-03 00:00:00
涨跌幅异常,可疑,601238.SSE,3,3 根 K 线涨跌幅超过 15%（最大 18.1%），可能是复权跳变、停牌复牌或数据错误,2020-10-23 00:00:00; 2021-07-09 00:00:00; 2025-11-28 00:00:00
涨跌幅异常,可疑,601319.SSE,1,1 根 K 线涨跌幅超过 15%（最大 18.9%），可能是复权跳变、停牌复牌或数据错误,2020-07-03 00:00:00
涨跌幅异常,可疑,601336.SSE,3,3 根 K 线涨跌幅超过 15%（最大 22.5%），可能是复权跳变、停牌复牌或数据错误,2023-04-28 00:00:00; 2023-07-28 00:00:00; 2024-09-27 00:00:00
涨跌幅异常,可疑,601360.SSE,8,8 根 K 线涨跌幅超过 15%（最大 24.4%），可能是复权跳变、停牌复牌或数据错误,2020-02-28 00:00:00; 2023-02-10 00:00:00; 2023-02-24 00:00:00; 2023-03-17 00:00:00; 2023-03-24 00:00:00
涨跌幅异常,可疑,601377.SSE,8,8 根 K 线涨跌幅超过 15%（最大 38.6%），可能是复权跳变、停牌复牌或数据错误,2020-02-21 00:00:00; 2020-07-03 00:00:00; 2020-07-10 00:00:00; 2020-07-17 00:00:00; 2021-05-28 00:00:00
涨跌幅异常,可疑,601390.SSE,1,1 根 K 线涨跌幅超过 15%（最大 16.1%），可能是复权跳变、停牌复牌或数据错误,2023-03-17 00:00:00
涨跌幅异常,可疑,601456.SSE,11,11 根 K 线涨跌幅超过 15%（最大 61.0%），可能是复权跳变、停牌复牌或数据错误,2020-08-07 00:00:00; 2020-08-14 00:00:00; 2020-09-18 00:00:00; 2021-03-26 00:00:00; 2021-05-14 00:00:00
涨跌幅异常,可疑,601600.SSE,6,6 根 K 线涨跌幅超过 15%（最大 22.1%），可能是复权跳变、停牌复牌或数据错误,2021-05-07 00:00:00; 2021-08-27 00:00:00; 2021-09-10 00:00:00; 2021-12-10 00:00:00; 2022-02-11 00:00:00
涨跌幅异常,可疑,601607.SSE,2,2 根 K 线涨跌幅超过 15%（最大 21.0%），可能是复权跳变、停牌复牌或数据错误,2020-08-07 00:00:00; 2022-05-13 00:00:00
涨跌幅异常,可疑,601618.SSE,2,2 根 K 线涨跌幅超过 15%（最大 20.2%），可能是复权跳变、停牌复牌或数据错误,2021-07-23 00:00:00; 2021-08-27 00:00:00
涨跌幅异常,可疑,601628.SSE,1,1 根 K 线涨跌幅超过 15%（最大 21.1%），可能是复权跳变、停牌复牌或数据错误,2020-07-10 00:00:00
涨跌幅异常,可疑,601633.SSE,8,8 根 K 线涨跌幅超过 15%（最大 21.9%），可能是复权跳变、停牌复牌或数据错误,2020-07-24 00:00:00; 2020-11-06 00:00:00; 2021-02-26 00:00:00; 2021-07-09 00:00:00; 2021-07-23 00:00:00
涨跌幅异常,可疑,601669.SSE,7,7 根 K 线涨跌幅超过 15%（最大 33.1%），可能是复权跳变、停牌复牌或数据错误,2020-07-10 00:00:00; 2021-09-10 00:00:00; 2021-10-29 00:00:00; 2021-12-03 00:00:00; 2025-07-25 00:00:00
涨跌幅异常,可疑,601688.SSE,1,1 根 K 线涨跌幅超过 15%（最大 16.9%），可能是复权跳变、停牌复牌或数据错误,2024-09-27 00:00:00
涨跌幅异常,可疑,601689.SSE,20,20 根 K 线涨跌幅超过 15%（最大 29.9%），可能是复权跳变、停牌复牌或数据错误,2020-01-10 00:00:00; 2020-02-28 00:00:00; 2020-03-20 00:00:00; 2020-04-17 00:00:00; 2020-07-10 00:00:00
涨跌幅异常,可疑,601698.SSE,20,20 根 K 线涨跌幅超过 15%（最大 36.9%），可能是复权跳变、停牌复牌或数据错误,2020-01-24 00:00:00; 2020-02-07 00:00:00; 2020-02-28 00:00:00; 2020-07-10 00:00:00; 2021-04-30 00:00:00
涨跌幅异常,可疑,601727.SSE,4,4 根 K 线涨跌幅超过 15%（最大 47.5%），可能是复权跳变、停牌复牌或数据错误,2024-10-25 00:00:00; 2024-11-01 00:00:00; 2024-11-08 00:00:00; 2024-11-15 00:00:00
涨跌幅异常,可疑,601728.SSE,1,1 根 K 线涨跌幅超过 15%（最大 24.5%），可能是复权跳变、停牌复牌或数据错误,2021-08-27 00:00:00
涨跌幅异常,可疑,601766.SSE,1,1 根 K 线涨跌幅超过 15%（最大 17.1%），可能是复权跳变、停牌复牌或数据错误,2021-01-15 00:00:00
涨跌幅异常,可疑,601788.SSE,5,5 根 K 线涨跌幅超过 15%（最大 34.9%），可能是复权跳变、停牌复牌或数据错误,2020-06-26 00:00:00; 2020-07-03 00:00:00; 2020-07-10 00:00:00; 2022-06-10 00:00:00; 2024-09-27 00:00:00
涨跌幅异常,可疑,601800.SSE,3,3 根 K 线涨跌幅超过 15%（最大 17.9%），可能是复权跳变、停牌复牌或数据错误,2021-09-03 00:00:00; 2022-11-25 00:00:00; 2024-09-27 00:00:00
涨跌幅异常,可疑,601825.SSE,1,1 根 K 线涨跌幅超过 15%（最大 16.7%），可能是复权跳变、停牌复牌或数据错误,2021-08-27 00:00:00
涨跌幅异常,可疑,601868.SSE,3,3 根 K 线涨跌幅超过 15%（最大 30.0%），可能是复权跳变、停牌复牌或数据错误,2021-12-03 00:00:00; 2025-07-25 00:00:00; 2026-03-13 00:00:00
涨跌幅异常,可疑,601872.SSE,5,5 根 K 线涨跌幅超过 15%（最大 29.6%），可能是复权跳变、停牌复牌或数据错误,2020-03-13 00:00:00; 2022-04-01 00:00:00; 2022-07-22 00:00:00; 2026-02-27 00:00:00; 2026-04-03 00:00:00
涨跌幅异常,可疑,601877.SSE,4,4 根 K 线涨跌幅超过 15%（最大 17.5%），可能是复权跳变、停牌复牌或数据错误,2021-07-30 00:00:00; 2021-08-06 00:00:00; 2021-10-29 00:00:00; 2025-11-07 00:00:00
涨跌幅异常,可疑,601878.SSE,4,4 根 K 线涨跌幅超过 15%（最大 52.3%），可能是复权跳变、停牌复牌或数据错误,2020-07-03 00:00:00; 2020-07-10 00:00:00; 2020-07-17 00:00:00; 2024-09-27 00:00:00
涨跌幅异常,可疑,601881.SSE,3,3 根 K 线涨跌幅超过 15%（最大 22.1%），可能是复权跳变、停牌复牌或数据错误,2020-07-03 00:00:00; 2023-07-28 00:00:00; 2024-09-27 00:00:00
涨跌幅异常,可疑,601888.SSE,8,8 根 K 线涨跌幅超过 15%（最大 42.7%），可能是复权跳变、停牌复牌或数据错误,2020-05-29 00:00:00; 2020-07-03 00:00:00; 2020-07-31 00:00:00; 2020-12-25 00:00:00; 2021-02-05 00:00:00
涨跌幅异常,可疑,601898.SSE,1,1 根 K 线涨跌幅超过 15%（最大 19.1%），可能是复权跳变、停牌复牌或数据错误,2022-04-15 00:00:00
涨跌幅异常,可疑,601899.SSE,5,5 根 K 线涨跌幅超过 15%（最大 21.1%），可能是复权跳变、停牌复牌或数据错误,2020-07-10 00:00:00; 2020-11-20 00:00:00; 2021-01-08 00:00:00; 2021-02-12 00:00:00; 2022-11-11 00:00:00
涨跌幅异常,可疑,601901.SSE,6,6 根 K 线涨跌幅超过 15%（最大 24.0%），可能是复权跳变、停牌复牌或数据错误,2021-01-01 00:00:00; 2021-05-28 00:00:00; 2023-11-10 00:00:00; 2024-03-01 00:00:00; 2024-04-26 00:00:00
涨跌幅异常,可疑,601919.SSE,10,10 根 K 线涨跌幅超过 15%（最大 28.5%），可能是复权跳变、停牌复牌或数据错误,2020-11-20 00:00:00; 2021-01-08 00:00:00; 2021-01-29 00:00:00; 2021-03-05 00:00:00; 2021-04-09 00:00:00
涨跌幅异常,可疑,601985.SSE,1,1 根 K 线涨跌幅超过 15%（最大 19.3%），可能是复权跳变、停牌复牌或数据错误,2021-09-10 00:00:00
涨跌幅异常,可疑,601995.SSE,3,3 根 K 线涨跌幅超过 15%（最大 21.5%），可能是复权跳变、停牌复牌或数据错误,2021-05-28 00:00:00; 2021-07-30 00:00:00; 2024-09-27 00:00:00
涨跌幅异常,可疑,603019.SSE,11,11 根 K 线涨跌幅超过 15%（最大 35.2%），可能是复权跳变、停牌复牌或数据错误,2020-05-08 00:00:00; 2020-07-10 00:00:00; 2023-03-24 00:00:00; 2023-04-21 00:00:00; 2024-02-23 00:00:00
涨跌幅异常,可疑,603259.SSE,8,8 根 K 线涨跌幅超过 15%（最大 26.1%），可能是复权跳变、停牌复牌或数据错误,2021-01-22 00:00:00; 2021-02-26 00:00:00; 2022-02-11 00:00:00; 2022-02-18 00:00:00; 2024-02-02 00:00:00
涨跌幅异常,可疑,603260.SSE,18,18 根 K 线涨跌幅超过 15%（最大 53.1%），可能是复权跳变、停牌复牌或数据错误,2020-11-06 00:00:00; 2021-01-01 00:00:00; 2021-01-22 00:00:00; 2021-04-23 00:00:00; 2021-07-02 00:00:00
