规则,级别,标的,数量,说明,样例
涨跌幅异常,可疑,002460.SZSE,13,13 根 K 线涨跌幅超过 15%（最大 25.2%），可能是复权跳变、停牌复牌或数据错误,2020-02-14 00:00:00; 2020-03-20 00:00:00; 2020-09-18 00:00:00; 2020-11-06 00:00:00; 2020-12-25 00:00:00
涨跌幅异常,可疑,002463.SZSE,14,14 根 K 线涨跌幅超过 15%（最大 37.0%），可能是复权跳变、停牌复牌或数据错误,2021-12-24 00:00:00; 2022-11-04 00:00:00; 2023-03-24 00:00:00; 2023-04-07 00:00:00; 2023-09-22 00:00:00
涨跌幅异常,可疑,002466.SZSE,30,30 根 K 线涨跌幅超过 15%（最大 41.1%），可能是复权跳变、停牌复牌或数据错误,2020-02-14 00:00:00; 2020-03-13 00:00:00; 2020-03-20 00:00:00; 2020-05-08 00:00:00; 2020-05-29 00:00:00
涨跌幅异常,可疑,002475.SZSE,6,6 根 K 线涨跌幅超过 15%（最大 19.0%），可能是复权跳变、停牌复牌或数据错误,2020-06-05 00:00:00; 2021-06-25 00:00:00; 2021-12-10 00:00:00; 2022-11-04 00:00:00; 2025-09-26 00:00:00
涨跌幅异常,可疑,002493.SZSE,8,8 根 K 线涨跌幅超过 15%（最大 24.9%），可能是复权跳变、停牌复牌或数据错误,2020-07-10 00:00:00; 2020-11-06 00:00:00; 2021-02-12 00:00:00; 2021-02-26 00:00:00; 2021-07-16 00:00:00
涨跌幅异常,可疑,002532.SZSE,7,7 根 K 线涨跌幅超过 15%（最大 25.4%），可能是复权跳变、停牌复牌或数据错误,2020-11-13 00:00:00; 2021-02-05 00:00:00; 2021-02-19 00:00:00; 2021-08-13 00:00:00; 2022-09-09 00:00:00
涨跌幅异常,可疑,002558.SZSE,9,9 根 K 线涨跌幅超过 15%（最大 23.7%），可能是复权跳变、停牌复牌或数据错误,2023-03-24 00:00:00; 2023-04-07 00:00:00; 2023-06-02 00:00:00; 2025-06-13 00:00:00; 2025-07-04 00:00:00
涨跌幅异常,可疑,002594.SZSE,12,12 根 K 线涨跌幅超过 15%（最大 26.4%），可能是复权跳变、停牌复牌或数据错误,2020-01-17 00:00:00; 2020-02-21 00:00:00; 2020-09-18 00:00:00; 2020-10-30 00:00:00; 2020-11-06 00:00:00
涨跌幅异常,可疑,002600.SZSE,11,11 根 K 线涨跌幅超过 15%（最大 24.9%），可能是复权跳变、停牌复牌或数据错误,2020-06-05 00:00:00; 2021-07-16 00:00:00; 2024-06-28 00:00:00; 2024-08-30 00:00:00; 2024-10-18 00:00:00
涨跌幅异常,可疑,002602.SZSE,7,7 根 K 线涨跌幅超过 15%（最大 25.0%），可能是复权跳变、停牌复牌或数据错误,2023-03-24 00:00:00; 2023-06-02 00:00:00; 2024-02-02 00:00:00; 2024-09-27 00:00:00; 2025-02-21 00:00:00
