date,equity,cash,hold_value,n_holding,ret
2026-02-24,57485.67,57485.67,0.0,0,0.0
2026-02-25,57485.67,57485.67,0.0,0,0.0
2026-02-26,57485.67,57485.67,0.0,0,0.0
2026-02-27,57485.67,57485.67,0.0,0,0.0
2026-03-02,57485.67,57485.67,0.0,0,0.0
2026-03-03,57485.67,57485.67,0.0,0,0.0
2026-03-04,57485.67,57485.67,0.0,0,0.0
2026-03-05,57485.67,57485.67,0.0,0,0.0
2026-03-06,57485.67,57485.67,0.0,0,0.0
2026-03-09,57485.67,57485.67,0.0,0,0.0
2026-03-10,57485.67,57485.67,0.0,0,0.0
2026-03-11,57485.67,57485.67,0.0,0,0.0
2026-03-12,57485.67,57485.67,0.0,0,0.0
2026-03-13,57485.67,57485.67,0.0,0,0.0
2026-03-16,57485.67,57485.67,0.0,0,0.0
2026-03-17,57485.67,57485.67,0.0,0,0.0
2026-03-18,57485.67,57485.67,0.0,0,0.0
2026-03-19,57485.67,57485.67,0.0,0,0.0
2026-03-20,57485.67,57485.67,0.0,0,0.0
2026-03-23,57485.67,57485.67,0.0,0,0.0
2026-03-24,57485.67,57485.67,0.0,0,0.0
2026-03-25,57485.67,57485.67,0.0,0,0.0
2026-03-26,57485.67,57485.67,0.0,0,0.0
2026-03-27,57485.67,57485.67,0.0,0,0.0
2026-03-30,57485.67,57485.67,0.0,0,0.0
2026-03-31,57485.67,57485.67,0.0,0,0.0
2026-04-01,57485.67,57485.67,0.0,0,0.0
2026-04-02,57485.67,57485.67,0.0,0,0.0
2026-04-03,57485.67,57485.67,0.0,0,0.0
2026-04-07,57485.67,57485.67,0.0,0,0.0
2026-04-08,57485.67,57485.67,0.0,0,0.0
2026-04-09,57485.67,57485.67,0.0,0,0.0
2026-04-10,57485.67,57485.67,0.0,0,0.0
2026-04-13,57485.67,57485.67,0.0,0,0.0
2026-04-14,57485.67,57485.67,0.0,0,0.0
2026-04-15,57485.67,57485.67,0.0,0,0.0
2026-04-16,57485.67,57485.67,0.0,0,0.0
2026-04-17,57485.67,57485.67,0.0,0,0.0
2026-04-20,57485.67,57485.67,0.0,0,0.0
2026-04-21,57485.67,57485.67,0.0,0,0.0
2026-04-22,57485.67,57485.67,0.0,0,0.0
2026-04-23,57485.67,57485.67,0.0,0,0.0
2026-04-24,57485.67,57485.67,0.0,0,0.0
2026-04-27,57485.67,57485.67,0.0,0,0.0
2026-04-28,57485.67,57485.67,0.0,0,0.0
2026-04-29,57485.67,57485.67,0.0,0,0.0
2026-04-30,57485.67,57485.67,0.0,0,0.0
2026-05-06,57485.67,57485.67,0.0,0,0.0
2026-05-07,57485.67,57485.67,0.0,0,0.0
2026-05-08,57485.67,57485.67,0.0,0,0.0
2026-05-11,57485.67,57485.67,0.0,0,0.0
2026-05-12,57485.67,57485.67,0.0,0,0.0
2026-05-13,57485.67,57485.67,0.0,0,0.0
2026-05-14,57485.67,57485.67,0.0,0,0.0
2026-05-15,57485.67,57485.67,0.0,0,0.0
2026-05-18,57485.67,57485.67,0.0,0,0.0
2026-05-19,57485.67,57485.67,0.0,0,0.0
2026-05-20,57485.67,57485.67,0.0,0,0.0
2026-05-21,57485.67,57485.67,0.0,0,0.0
2026-05-22,57485.67,57485.67,0.0,0,0.0
2026-05-25,57485.67,57485.67,0.0,0,0.0
2026-05-26,57485.67,57485.67,0.0,0,0.0
2026-05-27,57485.67,57485.67,0.0,0,0.0
2026-05-28,57485.67,57485.67,0.0,0,0.0
2026-05-29,57485.67,57485.67,0.0,0,0.0
2026-06-01,57485.67,57485.67,0.0,0,0.0
2026-06-02,57485.67,57485.67,0.0,0,0.0
2026-06-03,57485.67,57485.67,0.0,0,0.0
2026-06-04,57485.67,57485.67,0.0,0,0.0
2026-06-05,57485.67,57485.67,0.0,0,0.0
2026-06-08,57485.67,57485.67,0.0,0,0.0
2026-06-09,57485.67,57485.67,0.0,0,0.0
2026-06-10,57485.67,57485.67,0.0,0,0.0
2026-06-11,57485.67,57485.67,0.0,0,0.0
2026-06-12,57485.67,57485.67,0.0,0,0.0
2026-06-15,57485.67,57485.67,0.0,0,0.0
2026-06-16,57485.67,57485.67,0.0,0,0.0
2026-06-17,57485.67,57485.67,0.0,0,0.0
2026-06-18,57485.67,57485.67,0.0,0,0.0
2026-06-22,57485.67,57485.67,0.0,0,0.0
2026-06-23,57485.67,57485.67,0.0,0,0.0
2026-06-24,57485.67,57485.67,0.0,0,0.0
2026-06-25,57485.67,57485.67,0.0,0,0.0
2026-06-26,57485.67,57485.67,0.0,0,0.0
2026-06-29,57485.67,57485.67,0.0,0,0.0
2026-06-30,57485.67,57485.67,0.0,0,0.0
2026-07-01,57485.67,57485.67,0.0,0,0.0
2026-07-02,57485.67,57485.67,0.0,0,0.0
2026-07-03,57485.67,57485.67,0.0,0,0.0
2026-07-06,57485.67,57485.67,0.0,0,0.0
2026-07-07,57485.67,57485.67,0.0,0,0.0
2026-07-08,57485.67,57485.67,0.0,0,0.0
2026-07-09,57485.67,57485.67,0.0,0,0.0
2026-07-10,57485.67,57485.67,0.0,0,0.0
2026-07-13,57485.67,57485.67,0.0,0,0.0
2026-07-14,57485.67,57485.67,0.0,0,0.0
2026-07-15,57485.67,57485.67,0.0,0,0.0
2026-07-16,57485.67,57485.67,0.0,0,0.0
2026-07-17,57485.67,57485.67,0.0,0,0.0
2026-07-20,57485.67,57485.67,0.0,0,0.0
2026-07-21,57485.67,57485.67,0.0,0,0.0
2026-07-22,57485.67,57485.67,0.0,0,0.0
2026-07-23,57485.67,57485.67,0.0,0,0.0
2026-07-24,57485.67,57485.67,0.0,0,0.0
2026-07-27,57485.67,57485.67,0.0,0,0.0
2026-07-28,57485.67,57485.67,0.0,0,0.0
2026-07-29,57485.67,57485.67,0.0,0,0.0
2026-07-30,57485.67,57485.67,0.0,0,0.0
2026-07-31,57485.67,57485.67,0.0,0,0.0
2026-08-03,57485.67,57485.67,0.0,0,0.0
2026-08-04,57485.67,57485.67,0.0,0,0.0
2026-08-05,57485.67,57485.67,0.0,0,0.0
2026-08-06,57485.67,57485.67,0.0,0,0.0
2026-08-07,57485.67,57485.67,0.0,0,0.0
2026-08-10,57485.67,57485.67,0.0,0,0.0
2026-08-11,57485.67,57485.67,0.0,0,0.0
2026-08-12,57485.67,57485.67,0.0,0,0.0
2026-08-13,57485.67,57485.67,0.0,0,0.0
2026-08-14,57485.67,57485.67,0.0,0,0.0
2026-08-17,57485.67,57485.67,0.0,0,0.0
2026-08-18,57485.67,57485.67,0.0,0,0.0
2026-08-19,57485.67,57485.67,0.0,0,0.0
2026-08-20,57485.67,57485.67,0.0,0,0.0
2026-08-21,57485.67,57485.67,0.0,0,0.0
2026-08-24,57485.67,57485.67,0.0,0,0.0
2026-08-25,57485.67,57485.67,0.0,0,0.0
2026-08-26,57485.67,57485.67,0.0,0,0.0
2026-08-27,57485.67,57485.67,0.0,0,0.0
2026-08-28,57485.67,57485.67,0.0,0,0.0
2026-08-31,57485.67,57485.67,0.0,0,0.0
2026-09-01,57485.67,57485.67,0.0,0,0.0
2026-09-02,57485.67,57485.67,0.0,0,0.0
2026-09-03,57485.67,57485.67,0.0,0,0.0
2026-09-04,57485.67,57485.67,0.0,0,0.0
