day,symbol,side,entry_time,exit_time,entry_price,exit_price,volume,pnl,pnl_pct,reason
2025-09-23,002065.SZSE,sell,2025-09-22 11:28:00,2025-09-23 13:46:00,344.0424,362.0136,28,480.27,0.05224,模型转空
2025-09-23,002276.SZSE,sell,2025-09-22 13:37:00,2025-09-23 14:16:00,76.62,77.448,129,81.92,0.01081,模型转空
2025-09-23,600857.SSE,sell,2025-09-22 09:35:00,2025-09-23 14:19:00,71.0878,76.0856,139,673.77,0.0703,模型转空
2025-09-24,603035.SSE,sell,2025-09-23 11:15:00,2025-09-24 13:49:00,20.6632,21.7032,463,457.05,0.05033,模型转空
2025-09-25,002321.SZSE,sell,2025-09-24 10:45:00,2025-09-25 09:35:00,6.9296,6.6393,1429,-439.87,-0.0419,止损
2025-09-25,301539.SZSE,sell,2025-09-24 09:38:00,2025-09-25 10:45:00,20.24,20.29,487,-0.66,0.00247,模型转空
2025-09-25,603331.SSE,sell,2025-09-24 09:36:00,2025-09-25 11:24:00,16.394,16.646,586,122.99,0.01537,模型转空
2025-09-25,300030.SZSE,sell,2025-09-24 09:36:00,2025-09-25 13:49:00,31.648,31.608,312,-37.56,-0.00126,模型转空
2025-09-25,600857.SSE,sell,2025-09-24 13:59:00,2025-09-25 14:31:00,84.9167,85.8386,99,69.18,0.01086,模型转空
2025-09-26,300433.SZSE,sell,2025-09-25 09:35:00,2025-09-26 09:35:00,198.8591,189.2474,34,-354.11,-0.04833,止损
2025-09-26,300818.SZSE,sell,2025-09-25 11:26:00,2025-09-26 09:35:00,62.8067,61.4207,142,-220.62,-0.02207,止损
2025-09-26,605277.SSE,sell,2025-09-25 11:09:00,2025-09-26 11:14:00,63.5439,65.6234,137,262.65,0.03273,模型转空
2025-09-29,301408.SZSE,sell,2025-09-26 09:37:00,2025-09-29 09:39:00,12.99,12.73,685,-201.65,-0.02002,止损
2025-09-29,600748.SSE,sell,2025-09-26 09:35:00,2025-09-29 13:05:00,36.7406,37.2064,267,99.61,0.01268,模型转空
2025-09-29,600810.SSE,sell,2025-09-26 11:18:00,2025-09-29 14:12:00,57.997,60.5548,164,396.1,0.0441,模型转空
2025-09-29,000426.SZSE,sell,2025-09-26 09:35:00,2025-09-29 14:19:00,737.5455,823.3941,11,948.48,0.1164,模型转空
2025-09-29,300970.SZSE,sell,2025-09-26 09:37:00,2025-09-29 14:19:00,29.22,30.98,330,557.0,0.06023,模型转空
2025-09-30,301539.SZSE,sell,2025-09-29 13:07:00,2025-09-30 10:07:00,19.93,19.53,487,-219.36,-0.02007,止损
2025-09-30,603889.SSE,sell,2025-09-29 14:25:00,2025-09-30 10:28:00,48.5774,47.5946,197,-218.35,-0.02023,止损
2025-09-30,600487.SSE,sell,2025-09-29 09:42:00,2025-09-30 11:21:00,222.4724,222.2897,42,-32.23,-0.00082,模型转空
2025-09-30,603610.SSE,sell,2025-09-29 14:25:00,2025-09-30 13:32:00,49.3888,50.2472,180,131.48,0.01738,模型转空
2025-09-30,002534.SZSE,sell,2025-09-29 14:14:00,2025-09-30 14:20:00,35.113,35.581,237,88.45,0.01333,模型转空
2025-10-09,600760.SSE,sell,2025-09-30 14:34:00,2025-10-09 09:39:00,726.9596,708.7745,9,-196.73,-0.02502,止损
2025-10-09,600960.SSE,sell,2025-09-30 10:29:00,2025-10-09 13:33:00,22.3443,22.1384,426,-112.33,-0.00922,模型转空
2025-10-09,000960.SZSE,sell,2025-09-30 10:25:00,2025-10-09 14:50:00,74.1935,81.0239,123,819.45,0.09206,尾盘平仓
2025-10-10,002890.SZSE,sell,2025-10-09 10:04:00,2025-10-10 09:35:00,39.2182,37.9442,229,-315.55,-0.03248,止损
2025-10-10,600246.SSE,sell,2025-10-09 09:35:00,2025-10-10 09:42:00,133.295,130.4222,66,-215.66,-0.02155,止损
2025-10-10,601727.SSE,sell,2025-10-09 09:35:00,2025-10-10 13:23:00,10.9697,11.2997,897,270.95,0.03008,模型转空
2025-10-10,000878.SZSE,sell,2025-10-09 13:38:00,2025-10-10 14:33:00,63.0675,64.0105,149,116.46,0.01495,模型转空
2025-10-13,001282.SZSE,sell,2025-10-10 09:35:00,2025-10-13 09:35:00,45.4578,41.7534,198,-757.34,-0.08149,止损
2025-10-13,301170.SZSE,sell,2025-10-10 09:45:00,2025-10-13 09:35:00,28.05,26.99,289,-329.32,-0.03779,止损
2025-10-13,600403.SSE,sell,2025-10-10 13:38:00,2025-10-13 13:02:00,28.1358,29.3058,338,371.73,0.04158,模型转空
2025-10-13,603889.SSE,sell,2025-10-10 09:35:00,2025-10-13 13:23:00,53.0546,52.6178,186,-106.37,-0.00823,模型转空
2025-10-14,002012.SZSE,sell,2025-10-13 14:08:00,2025-10-14 10:59:00,28.6926,28.9842,330,71.85,0.01016,模型转空
2025-10-14,301219.SZSE,sell,2025-10-13 09:35:00,2025-10-14 11:08:00,179.7312,177.5316,29,-82.68,-0.01224,模型转空
2025-10-14,603097.SSE,sell,2025-10-13 09:35:00,2025-10-14 14:01:00,23.5,24.24,417,283.78,0.03149,模型转空
2025-10-14,301353.SZSE,sell,2025-10-13 13:02:00,2025-10-14 14:06:00,35.497,35.549,226,-10.46,0.00146,模型转空
2025-10-14,300644.SZSE,sell,2025-10-13 09:35:00,2025-10-14 14:33:00,57.305,57.951,163,81.18,0.01127,模型转空
2025-10-15,600403.SSE,sell,2025-10-14 13:01:00,2025-10-15 14:50:00,31.131,33.471,305,688.77,0.07517,尾盘平仓
2025-10-16,301520.SZSE,sell,2025-10-15 09:37:00,2025-10-16 10:54:00,41.62,42.31,211,122.2,0.01658,模型转空
2025-10-16,002890.SZSE,sell,2025-10-15 09:50:00,2025-10-16 11:01:00,39.0144,38.5812,229,-122.84,-0.0111,模型转空
2025-10-16,301515.SZSE,sell,2025-10-15 09:54:00,2025-10-16 13:09:00,22.028,21.578,389,-198.3,-0.02043,止损
2025-10-16,000933.SZSE,sell,2025-10-15 09:37:00,2025-10-16 13:52:00,296.7213,299.1063,29,47.83,0.00804,模型转空
2025-10-17,600748.SSE,sell,2025-10-16 10:12:00,2025-10-17 10:07:00,43.0626,46.8558,229,844.33,0.08809,模型转空
2025-10-17,600403.SSE,sell,2025-10-16 14:18:00,2025-10-17 14:50:00,36.045,38.853,271,735.89,0.0779,尾盘平仓
2025-10-20,000933.SZSE,sell,2025-10-17 09:35:00,2025-10-20 09:35:00,312.3937,301.3776,29,-353.69,-0.03526,止损
2025-10-20,600231.SSE,sell,2025-10-17 10:43:00,2025-10-20 09:51:00,20.4933,20.0502,484,-239.62,-0.02163,止损
2025-10-20,300886.SZSE,sell,2025-10-17 09:46:00,2025-10-20 13:23:00,37.6916,37.6526,226,-31.79,-0.00103,模型转空
2025-10-20,603313.SSE,sell,2025-10-17 10:51:00,2025-10-20 13:56:00,17.9072,18.2283,543,149.64,0.01793,模型转空
2025-10-21,002890.SZSE,sell,2025-10-20 09:35:00,2025-10-21 11:04:00,38.7086,38.6832,229,-29.33,-0.00066,模型转空
2025-10-21,301353.SZSE,sell,2025-10-20 09:36:00,2025-10-21 11:12:00,35.861,36.277,226,71.79,0.0116,模型转空
2025-10-21,001282.SZSE,sell,2025-10-20 14:09:00,2025-10-21 13:15:00,51.5142,50.4558,148,-178.85,-0.02055,止损
2025-10-21,600293.SSE,sell,2025-10-20 10:16:00,2025-10-21 14:50:00,10.4868,11.5486,934,965.82,0.10125,尾盘平仓
2025-10-21,600403.SSE,sell,2025-10-20 13:38:00,2025-10-21 14:50:00,41.9418,45.3582,237,784.76,0.08146,尾盘平仓
2025-10-22,600960.SSE,sell,2025-10-21 11:12:00,2025-10-22 09:41:00,26.3392,25.7626,359,-231.48,-0.02189,止损
2025-10-22,600748.SSE,sell,2025-10-21 14:01:00,2025-10-22 13:42:00,53.444,56.9045,178,592.35,0.06475,模型转空
2025-10-22,301158.SZSE,sell,2025-10-21 11:12:00,2025-10-22 14:18:00,26.5554,30.6254,361,1447.23,0.15326,模型转空
2025-10-23,600293.SSE,sell,2025-10-22 10:30:00,2025-10-23 09:35:00,12.6426,12.1921,788,-379.77,-0.03563,止损
2025-10-23,000965.SZSE,sell,2025-10-22 14:20:00,2025-10-23 09:36:00,13.8188,13.4921,714,-258.37,-0.02364,止损
2025-10-23,301512.SZSE,sell,2025-10-22 10:21:00,2025-10-23 09:42:00,47.935,46.955,207,-227.86,-0.02044,止损
2025-10-23,300433.SZSE,sell,2025-10-22 09:37:00,2025-10-23 13:08:00,166.6222,165.8123,52,-65.37,-0.00486,模型转空
2025-10-23,600403.SSE,sell,2025-10-22 13:43:00,2025-10-23 14:50:00,49.1022,53.2206,203,811.65,0.08387,尾盘平仓
2025-10-24,000933.SZSE,sell,2025-10-23 09:38:00,2025-10-24 10:14:00,320.457,313.9837,29,-218.19,-0.0202,止损
2025-10-24,605365.SSE,sell,2025-10-23 11:07:00,2025-10-24 13:24:00,17.524,18.024,552,251.07,0.02853,模型转空
2025-10-27,301512.SZSE,sell,2025-10-24 13:04:00,2025-10-27 11:30:00,48.405,48.615,138,8.81,0.00434,模型转空
2025-10-27,603992.SSE,sell,2025-10-24 11:12:00,2025-10-27 13:38:00,30.43,30.46,273,-14.46,0.00099,模型转空
2025-10-27,603179.SSE,sell,2025-10-24 14:21:00,2025-10-27 13:56:00,179.0953,182.7863,28,88.8,0.02061,模型转空
2025-10-28,002236.SZSE,sell,2025-10-27 09:35:00,2025-10-28 10:10:00,967.5171,967.9171,10,-21.03,0.00041,模型转空
2025-10-28,603097.SSE,sell,2025-10-27 14:04:00,2025-10-28 13:08:00,26.88,27.28,347,114.84,0.01488,模型转空
2025-10-28,600376.SSE,sell,2025-10-27 09:35:00,2025-10-28 13:25:00,64.4599,63.0606,154,-241.12,-0.02171,止损
2025-10-29,300836.SZSE,sell,2025-10-28 09:35:00,2025-10-29 09:35:00,106.3096,103.4256,52,-169.2,-0.02713,止损
2025-10-29,600278.SSE,sell,2025-10-28 10:21:00,2025-10-29 09:35:00,18.6866,17.7916,515,-485.46,-0.0479,止损
2025-10-30,603191.SSE,sell,2025-10-29 10:10:00,2025-10-30 09:35:00,17.36,16.44,486,-470.2,-0.053,止损
2025-10-30,000567.SZSE,sell,2025-10-29 10:43:00,2025-10-30 09:37:00,116.7783,114.2718,83,-235.01,-0.02146,止损
2025-10-30,600748.SSE,sell,2025-10-29 11:06:00,2025-10-30 13:11:00,50.3828,52.2461,191,331.23,0.03698,模型转空
2025-10-30,002270.SZSE,sell,2025-10-29 13:52:00,2025-10-30 13:48:00,58.6406,58.9136,130,13.91,0.00466,模型转空
2025-10-30,600487.SSE,sell,2025-10-29 09:52:00,2025-10-30 14:50:00,217.3568,217.9962,42,3.17,0.00294,尾盘平仓
2025-10-31,300324.SZSE,sell,2025-10-30 09:35:00,2025-10-31 09:35:00,152.2719,146.0173,62,-418.19,-0.04108,止损
2025-10-31,600376.SSE,sell,2025-10-30 09:37:00,2025-10-31 09:35:00,64.0949,61.1137,154,-485.19,-0.04651,止损
2025-10-31,002430.SZSE,sell,2025-10-30 13:14:00,2025-10-31 09:35:00,67.8414,65.9986,128,-258.94,-0.02716,止损
2025-10-31,002769.SZSE,sell,2025-10-30 14:01:00,2025-10-31 09:36:00,51.8775,50.6778,191,-254.24,-0.02313,止损
2025-11-03,600487.SSE,sell,2025-10-31 09:35:00,2025-11-03 09:35:00,219.9146,212.1498,42,-355.42,-0.03531,止损
2025-11-03,600278.SSE,sell,2025-10-31 10:50:00,2025-11-03 09:35:00,18.9674,18.3005,515,-368.21,-0.03516,止损
2025-11-03,301515.SZSE,sell,2025-10-31 11:04:00,2025-11-03 11:23:00,22.498,22.798,389,93.5,0.01333,模型转空
2025-11-03,603312.SSE,sell,2025-10-31 10:33:00,2025-11-03 14:14:00,49.41,52.57,186,565.31,0.06395,模型转空
2025-11-03,301228.SZSE,sell,2025-10-31 09:38:00,2025-11-03 14:35:00,25.14,27.39,298,650.64,0.0895,模型转空
2025-11-04,600444.SSE,sell,2025-11-03 14:32:00,2025-11-04 09:49:00,41.6602,40.7494,234,-238.0,-0.02186,止损
2025-11-04,605365.SSE,sell,2025-11-03 11:26:00,2025-11-04 13:13:00,20.994,22.124,460,494.7,0.05382,模型转空
2025-11-04,002370.SZSE,sell,2025-11-03 10:38:00,2025-11-04 13:23:00,30.988,31.192,301,37.24,0.00658,模型转空
2025-11-04,002890.SZSE,sell,2025-11-03 10:33:00,2025-11-04 13:29:00,41.8427,41.486,229,-106.31,-0.00853,模型转空
2025-11-05,002451.SZSE,sell,2025-11-04 10:33:00,2025-11-05 14:50:00,24.165,26.505,386,878.82,0.09683,尾盘平仓
2025-11-06,300536.SZSE,sell,2025-11-05 09:36:00,2025-11-06 09:38:00,27.718,27.151,343,-219.1,-0.02046,止损
2025-11-06,601168.SSE,sell,2025-11-05 09:35:00,2025-11-06 10:08:00,26.74,27.58,357,275.48,0.03141,模型转空
2025-11-06,300037.SZSE,sell,2025-11-05 09:35:00,2025-11-06 14:03:00,296.1544,315.3352,32,605.5,0.06477,模型转空
2025-11-06,301067.SZSE,sell,2025-11-05 09:35:00,2025-11-06 14:13:00,72.066,80.85,108,927.46,0.12189,模型转空
2025-11-07,002534.SZSE,sell,2025-11-06 13:18:00,2025-11-07 09:35:00,38.623,37.561,237,-276.15,-0.0275,止损
2025-11-07,600487.SSE,sell,2025-11-06 09:39:00,2025-11-07 13:36:00,214.4336,214.0682,42,-39.5,-0.0017,模型转空
2025-11-07,000534.SZSE,sell,2025-11-06 10:31:00,2025-11-07 14:29:00,72.8336,79.3545,115,726.86,0.08953,模型转空
2025-11-10,600376.SSE,sell,2025-11-07 09:35:00,2025-11-10 09:35:00,63.0606,58.6801,154,-700.94,-0.06946,止损
2025-11-10,002522.SZSE,sell,2025-11-07 13:36:00,2025-11-10 09:36:00,54.7456,53.4144,174,-257.0,-0.02432,止损
2025-11-10,300980.SZSE,sell,2025-11-07 09:37:00,2025-11-10 09:39:00,49.2754,48.2404,191,-222.35,-0.021,止损
2025-11-10,000933.SZSE,sell,2025-11-07 09:39:00,2025-11-10 10:30:00,360.433,352.5968,22,-198.08,-0.02174,止损
2025-11-11,603132.SSE,sell,2025-11-10 11:03:00,2025-11-11 10:45:00,15.426,15.396,629,-43.6,-0.00194,模型转空
2025-11-11,002451.SZSE,sell,2025-11-10 10:41:00,2025-11-11 13:21:00,35.025,37.905,257,717.22,0.08223,模型转空
2025-11-11,000695.SZSE,sell,2025-11-10 10:32:00,2025-11-11 13:33:00,35.7656,35.8886,276,8.93,0.00344,模型转空
2025-11-11,001206.SZSE,sell,2025-11-10 10:41:00,2025-11-11 13:46:00,67.3308,69.5652,125,257.8,0.03319,模型转空
2025-11-11,300818.SZSE,sell,2025-11-10 09:35:00,2025-11-11 14:08:00,67.1537,66.1247,142,-170.81,-0.01532,模型转空
2025-11-12,300179.SZSE,sell,2025-11-11 11:09:00,2025-11-12 09:35:00,117.6103,112.4425,80,-442.03,-0.04394,止损
2025-11-12,600810.SSE,sell,2025-11-11 13:46:00,2025-11-12 09:52:00,58.243,57.0624,164,-218.7,-0.02027,止损
2025-11-13,600376.SSE,sell,2025-11-12 13:01:00,2025-11-13 09:35:00,60.1403,58.4368,162,-300.92,-0.02833,止损
2025-11-13,300818.SZSE,sell,2025-11-12 09:36:00,2025-11-13 11:08:00,66.5867,70.0307,142,465.2,0.05172,模型转空
2025-11-13,002451.SZSE,sell,2025-11-12 13:01:00,2025-11-13 13:31:00,42.225,46.365,225,907.49,0.09805,模型转空
2025-11-13,000933.SZSE,sell,2025-11-12 11:11:00,2025-11-13 14:14:00,350.6661,351.9154,22,6.05,0.00356,模型转空
2025-11-14,300801.SZSE,sell,2025-11-13 11:11:00,2025-11-14 09:35:00,78.8846,77.2466,102,-189.95,-0.02076,止损
2025-11-14,002890.SZSE,sell,2025-11-13 11:18:00,2025-11-14 11:21:00,41.2312,41.2566,229,-18.53,0.00062,模型转空
2025-11-14,600576.SSE,sell,2025-11-13 13:43:00,2025-11-14 13:27:00,26.5782,26.609,354,-13.42,0.00116,模型转空
2025-11-14,600246.SSE,sell,2025-11-13 14:22:00,2025-11-14 14:10:00,125.1554,129.4646,76,304.75,0.03443,模型转空
2025-11-14,301228.SZSE,sell,2025-11-13 09:35:00,2025-11-14 14:50:00,29.01,34.29,298,1553.92,0.18201,尾盘平仓
2025-11-17,301111.SZSE,sell,2025-11-14 13:07:00,2025-11-17 09:44:00,19.12,18.73,489,-215.14,-0.0204,止损
2025-11-17,600376.SSE,sell,2025-11-14 09:35:00,2025-11-17 13:57:00,59.106,63.0606,162,616.34,0.06691,模型转空
2025-11-17,600403.SSE,sell,2025-11-14 13:28:00,2025-11-17 14:50:00,55.4202,60.147,169,776.1,0.08529,尾盘平仓
2025-11-18,000695.SZSE,sell,2025-11-17 14:18:00,2025-11-18 13:03:00,46.5001,45.4851,207,-234.64,-0.02183,止损
